IID	HOM_CT	HET_CT
SRR13587623_hapA	10009	80759
SRR13587624_hapA	59355	70294
SRR13587625_hapA	52486	104249
SRR13587626_hapA	58732	78766
SRR13587627_hapA	60540	77044
SRR13587628_hapA	50695	103479
SRR13587629_hapA	55671	102784
SRR13587630_hapA	8351	83484
SRR13587631_hapA	8207	83637
SRR13587632_hapA	9273	82187
SRR13587633_hapA	51559	101865
SRR13587634_hapA	58996	77689
SRR13587635_hapA	10238	79230
SRR13587636_hapA	57364	79304
SRR13587637_hapA	59423	80136
SRR13587638_hapA	49656	97557
SRR13587639_hapA	43783	84388
SRR13587640_hapA	55759	83003
SRR13587641_hapA	55530	92171
SRR13587642_hapA	56801	75307
SRR13587643_hapA	54567	80437
SRR13587644_hapA	64374	70664
SRR13587645_hapA	49900	96769
SRR13587646_hapA	57603	88861
SRR13587647_hapA	57273	90196
SRR13587648_hapA	50859	101088
SRR13587649_hapA	62952	68168
SRR13587650_hapA	49060	97528
SRR13587651_hapA	54339	99128
SRR13587652_hapA	41741	102564
SRR13587653_hapA	52359	109006
SRR13587654_hapA	46783	103052
SRR13587655_hapA	39502	83168
SRR13587656_hapA	50515	89274
SRR13587657_hapA	52188	89813
SRR13587658_hapA	51227	87319
SRR13587659_hapA	47009	100335
SRR13587660_hapA	55869	90829
SRR13587661_hapA	8273	83501
SRR13587662_hapA	57807	95009
SRR13587663_hapA	48661	74755
SRR13587664_hapA	52737	98624
SRR13587665_hapA	53196	83237
SRR13587666_hapA	51049	103137
SRR13587667_hapA	50324	102669
SRR13587668_hapA	10569	78286
SRR13587669_hapA	51495	101431
SRR13587670_hapA	47980	90572
SRR13587671_hapA	55315	86481
SRR13587672_hapA	12000	77471
SRR13587673_hapA	58415	82052
SRR13587674_hapA	50970	92687
SRR13587675_hapA	45758	65567
SRR13587676_hapA	52127	90575
SRR13587677_hapA	8779	82724
SRR13587678_hapA	62682	76863
SRR13587679_hapA	8331	83970
SRR13587680_hapA	54525	81894
SRR13587681_hapA	46899	101099
SRR13587682_hapA	47492	96348
SRR13587683_hapA	70011	56810
SRR13587684_hapA	51431	95656
SRR13587685_hapA	57291	82505
SRR13587686_hapA	54596	92564
SRR13587687_hapA	60149	68702
SRR13587688_hapA	54803	92665
SRR13587689_hapA	61680	73345
SRR13587690_hapA	49340	89865
SRR13587691_hapA	9963	82491
SRR13587692_hapA	48476	87228
SRR13587693_hapA	590	3170
SRR13587694_hapA	53139	89062
SRR13587695_hapA	50606	96022
SRR13587696_hapA	41075	106884
SRR13587697_hapA	796	3674
SRR13587698_hapA	58987	89179
SRR13587699_hapA	50867	94918
SRR13587700_hapA	47349	102484
SRR13587701_hapA	16184	150562
SRR13587702_hapA	46870	103097
SRR13587703_hapA	14377	76753
SRR13587704_hapA	10026	81896
SRR13587705_hapA	48341	98360
SRR13587706_hapA	54797	87230
SRR13587707_hapA	16584	73088
SRR13587708_hapA	755	3313
SRR13587709_hapA	50600	106400
SRR13587710_hapA	50338	106408
SRR13587711_hapA	52562	88700
SRR13587712_hapA	59123	77612
SRR13587713_hapA	60023	82767
SRR13587714_hapA	56475	84991
SRR13587715_hapA	52021	87660
SRR13587716_hapA	59645	74963
SRR13587717_hapA	56616	87259
SRR13587718_hapA	37361	68926
SRR13587719_hapA	51973	86833
SRR13587720_hapA	69948	62663
SRR13587721_hapA	53495	86100
SRR13587722_hapA	63084	70318
SRR13587723_hapA	55852	98600
SRR13587724_hapA	56579	84600
SRR13587725_hapA	55321	87067
SRR13587726_hapA	57853	80891
SRR13587727_hapA	60223	73622
SRR13587728_hapA	13931	74451
SRR13587729_hapA	52665	91975
SRR13587730_hapA	54355	86166
SRR13587731_hapA	52493	82573
SRR13587732_hapA	399	2728
SRR13587733_hapA	57313	89611
SRR13587734_hapA	50356	97205
SRR13587735_hapA	53155	91894
SRR13587736_hapA	191	1090
SRR13587737_hapA	55	265
SRR13587738_hapA	56702	85106
SRR13587739_hapA	50329	106703
SRR13587740_hapA	53866	88498
SRR13587741_hapA	57732	89020
SRR13587742_hapA	52209	98600
SRR13587743_hapA	3970	154841
SRR13587744_hapA	50463	93764
SRR13587745_hapA	53608	85508
SRR13587746_hapA	31514	70185
SRR13587747_hapA	40526	104283
SRR13587748_hapA	45521	93673
SRR13587749_hapA	60127	78278
SRR13587750_hapA	45578	94364
SRR13587751_hapA	49120	93911
SRR13587752_hapA	11110	78982
SRR13587753_hapA	50687	92087
SRR13587754_hapA	45139	96054
SRR13587755_hapA	48053	100944
SRR13587756_hapA	9854	81182
SRR13587757_hapA	59135	93179
SRR13587758_hapA	10520	79043
SRR13587759_hapA	52175	84474
SRR13587760_hapA	62674	70413
SRR13587761_hapA	62143	69444
SRR13587762_hapA	45183	90856
SRR13587763_hapA	15891	74903
SRR13587764_hapA	59882	81045
SRR13587765_hapA	53134	97584
SRR13587766_hapA	54136	87240
SRR13587767_hapA	55001	105261
SRR13587768_hapA	55401	86220
SRR13587769_hapA	56617	75572
SRR13587770_hapA	52588	102548
SRR13587771_hapA	54302	88296
SRR13587772_hapA	58643	85789
SRR13587773_hapA	55320	85496
SRR13587774_hapA	55893	85719
SRR13587775_hapA	11409	76350
SRR13587776_hapA	11148	80386
SRR13587777_hapA	52708	105926
SRR13587778_hapA	52432	96899
SRR13587779_hapA	56305	85543
SRR13587780_hapA	66218	99580
SRR13587781_hapA	52704	88039
SRR13587782_hapA	50504	95790
SRR13587783_hapA	45435	97446
SRR13587784_hapA	42	66
SRR13587785_hapA	52209	93198
SRR13587786_hapA	9879	82915
SRR13587787_hapA	11842	80245
SRR13587788_hapA	10975	80632
SRR13587789_hapA	11921	80402
SRR13587790_hapA	55855	78230
SRR13587791_hapA	9005	82692
SRR13587792_hapA	24985	177062
SRR13587793_hapA	9039	83730
SRR13587794_hapA	9509	82352
SRR13587795_hapA	59703	78458
SRR13587796_hapA	51127	111575
SRR13587797_hapA	9181	83132
SRR13587798_hapA	48730	109489
SRR13587799_hapA	53725	96388
SRR13587800_hapA	54074	97204
SRR13587801_hapA	39515	75065
SRR13587802_hapA	55825	104355
SRR13587803_hapA	50622	87987
SRR13587804_hapA	55009	83080
SRR13587805_hapA	53151	83168
SRR13587806_hapA	55072	86011
SRR13587807_hapA	14059	70231
SRR13587808_hapA	56050	84981
SRR13587809_hapA	59991	77381
SRR13587810_hapA	58421	82080
SRR13587811_hapA	9958	80529
SRR13587812_hapA	10171	80391
SRR13587813_hapA	49522	93147
SRR13587814_hapA	52444	93736
SRR13587815_hapA	51662	109116
SRR13587816_hapA	57219	84935
SRR13587817_hapA	8331	83744
SRR13587818_hapA	25747	159801
SRR13587819_hapA	56763	88741
SRR13587820_hapA	26309	164042
SRR13587821_hapA	68281	61831
SRR13587822_hapA	52188	99940
SRR13587823_hapA	50687	93209
SRR13587824_hapA	54604	102746
SRR13587825_hapA	55947	84732
SRR13587827_hapA	47962	91092
SRR13587828_hapA	8399	83750
SRR13587829_hapA	49853	98029
SRR13587830_hapA	47407	101917
SRR13587831_hapA	47248	100856
SRR13587832_hapA	57887	75660
SRR13587833_hapA	59893	75635
SRR13587834_hapA	48033	106541
SRR13587835_hapA	59540	68377
SRR13587836_hapA	47501	91730
SRR13587837_hapA	64911	70550
SRR13587838_hapA	50663	102154
SRR13587839_hapA	6669	88212
SRR13587840_hapA	54761	98381
SRR13587841_hapA	54199	99858
SRR13587842_hapA	45208	99695
SRR13587843_hapA	52731	108060
SRR13587844_hapA	51474	90347
SRR13587845_hapA	737	3151
SRR13587846_hapA	47699	101079
SRR13587847_hapA	53029	91904
SRR13587848_hapA	10716	78721
SRR13587849_hapA	59115	83389
SRR13587850_hapA	48425	114275
SRR13587851_hapA	47617	83737
SRR13587853_hapA	19994	173389
SRR13587854_hapA	2680	22813
SRR13587855_hapA	56124	95655
SRR13587856_hapA	323	1085
SRR13587858_hapA	49350	78576
SRR13587859_hapA	53846	88414
SRR13587860_hapA	67147	65417
SRR13587861_hapA	62255	64141
SRR13587862_hapA	50524	95688
SRR13587863_hapA	55405	86106
SRR13587864_hapA	50592	95941
SRR13587865_hapA	57051	90287
SRR13587866_hapA	54350	91219
SRR13587867_hapA	58307	96665
SRR13587868_hapA	51398	83493
SRR13587869_hapA	318	1380
SRR13587870_hapA	7170	79835
SRR13587872_hapA	55733	97143
SRR13587873_hapA	11189	78124
SRR13587874_hapA	51983	88483
SRR13587875_hapA	57020	75357
SRR13587876_hapA	69753	55827
SRR13587877_hapA	57908	94644
SRR13587878_hapA	9334	82282
SRR13587879_hapA	59223	78960
SRR13587880_hapA	52788	92645
SRR13587882_hapA	47363	102583
SRR13587883_hapA	57861	65406
SRR13587884_hapA	11396	80612
SRR13587885_hapA	55579	81021
SRR13587886_hapA	53231	98047
SRR13587887_hapA	52981	98048
SRR13587888_hapA	39730	66551
SRR13587889_hapA	12842	75665
SRR13741095_hapA	16841	67549
SRR13741096_hapA	16559	67933
SRR13741097_hapA	18967	54476
SRR13741099_hapA	13857	78577
SRR13741100_hapA	66	42
SRR13741101_hapA	8765	63219
SRR13741102_hapA	10782	73249
SRR13741103_hapA	11039	73285
SRR13741104_hapA	122	69
SRR13741105_hapA	70	95
SRR13741106_hapA	49674	89377
SRR13741107_hapA	49511	90000
SRR13741108_hapA	16662	61480
SRR13741109_hapA	64201	66772
SRR13741110_hapA	50018	97344
SRR13741111_hapA	106	142
SRR13741112_hapA	63489	66234
SRR13741113_hapA	61807	69639
SRR13741114_hapA	60820	73166
SRR13741115_hapA	100	74
SRR13741116_hapA	54063	91310
SRR13741117_hapA	53076	91119
SRR13741118_hapA	14268	68099
SRR13741119_hapA	36	89
SRR13741120_hapA	64247	66910
SRR13741121_hapA	63593	67109
SRR13741122_hapA	14484	68641
SRR13741123_hapA	38	148
SRR13741124_hapA	14381	68478
SRR13741125_hapA	14543	68976
SRR13741126_hapA	58208	78464
SRR13741127_hapA	58258	78630
SRR13741128_hapA	16855	59638
SRR14902701_hapA	57705	75843
SRR14902702_hapA	120	354
SRR14902703_hapA	53199	78811
SRR14902704_hapA	50718	85795
SRR14902705_hapA	65516	65021
SRR14902706_hapA	43388	94278
SRR14902707_hapA	167	636
SRR14902708_hapA	43516	94495
SRR14902709_hapA	43334	94230
SRR14902710_hapA	47639	87829
SRR14902711_hapA	48121	87480
SRR14902720_hapA	88	304
SRR14902728_hapA	59212	77149
SRR1542419_hapA	2645	74
SRR1542425_hapA	43	137
SRR1542939_hapA	224	3442
SRR1544065_hapA	3810	9375
SRR1544598_hapA	6940	83253
SRR1544616_hapA	6923	84138
SRR1544621_hapA	18982	55586
SRR1544628_hapA	21323	56832
SRR1544681_hapA	25417	49735
SRR1544691_hapA	26610	46613
SRR1548194_hapA	9139	81262
SRR1548196_hapA	10567	75455
SRR1548198_hapA	10874	79410
SRR1548199_hapA	9668	74681
SRR1548200_hapA	10912	79390
SRR1548201_hapA	10883	79185
SRR1548205_hapA	10759	78354
SRR1548207_hapA	10905	78891
SRR1548209_hapA	10902	78542
SRR1548320_hapA	9497	72802
SRR1548333_hapA	10320	77487
SRR1553997_hapA	11049	77334
SRR1554081_hapA	10896	77526
SRR1554082_hapA	11039	77713
SRR1554083_hapA	11117	77537
SRR1554088_hapA	11230	77748
SRR1554174_hapA	60426	72122
SRR1554177_hapA	64237	63487
SRR1554178_hapA	62330	70775
SRR1554184_hapA	52515	86110
SRR1554287_hapA	56414	80696
SRR1554289_hapA	55470	80527
SRR1554292_hapA	56280	78004
SRR1554296_hapA	54690	84640
SRR1554297_hapA	58585	74209
SRR1554300_hapA	60809	70286
SRR1554302_hapA	65015	57554
SRR1554304_hapA	12117	142773
SRR1554307_hapA	62216	68399
SRR1554308_hapA	67371	57584
SRR1554310_hapA	79641	34205
SRR16959048_hapA	52703	63451
SRR16974326_hapA	39292	39354
SRR19696079_hapA	46630	90062
SRR19696090_hapA	66931	60019
SRR19696094_hapA	48546	91125
SRR19696095_hapA	99	283
SRR19696096_hapA	49339	93119
SRR19696097_hapA	50857	89679
SRR19696098_hapA	10155	79962
SRR19696099_hapA	45723	87855
SRR19696100_hapA	11749	79390
SRR19696101_hapA	51896	79560
SRR19696102_hapA	50438	87998
SRR19696103_hapA	55885	72544
SRR19696104_hapA	34387	71816
SRR19696105_hapA	51879	94211
SRR19696106_hapA	44683	92620
SRR19696107_hapA	50299	102764
SRR19696108_hapA	39742	48227
SRR19696109_hapA	47591	82051
SRR19696110_hapA	48416	94903
SRR19696111_hapA	54355	64471
SRR19696112_hapA	5807	12710
SRR19696113_hapA	53156	87326
SRR19696114_hapA	48427	93586
SRR19696115_hapA	47402	97701
SRR19696116_hapA	43585	97110
SRR19696117_hapA	276	976
SRR19696118_hapA	50605	97298
SRR19696119_hapA	42843	77802
SRR19696120_hapA	2401	28652
SRR19696137_hapA	10361	77452
SRR19696148_hapA	47859	55646
SRR19696159_hapA	47981	92453
SRR19696167_hapA	47518	99074
SRR19696178_hapA	49994	79336
SRR19696189_hapA	51537	103253
SRR19696200_hapA	45023	80439
SRR19696211_hapA	44015	94346
SRR19696222_hapA	49182	94143
SRR19696233_hapA	46606	79193
SRR19696244_hapA	43217	87053
SRR19696255_hapA	51410	97338
SRR19696266_hapA	54281	76860
SRR19696267_hapA	34478	45150
SRR19696268_hapA	44438	98179
SRR2088860_hapA	39343	64642
SRR2088861_hapA	42718	69118
SRR2088862_hapA	41852	65624
SRR2088863_hapA	36711	57620
SRR21359688_hapA	8624	46780
SRR21359689_hapA	3270	7556
SRR21359690_hapA	259	1593
SRR21359691_hapA	35	40
SRR21359692_hapA	10569	15964
SRR21359694_hapA	9931	70220
SRR21359695_hapA	8433	57898
SRR21359696_hapA	8104	65053
SRR21359697_hapA	673	2380
SRR21359698_hapA	5613	20660
SRR21359700_hapA	362	2489
SRR21359701_hapA	52219	86889
SRR21359702_hapA	54269	80522
SRR21359703_hapA	33343	41817
SRR21359704_hapA	11376	70038
SRR21359705_hapA	46398	87244
SRR21359706_hapA	133	216
SRR21359707_hapA	60699	76982
SRR21359708_hapA	13286	70737
SRR21359709_hapA	9993	77454
SRR21359710_hapA	19801	62632
SRR21359711_hapA	71	68
SRR21359712_hapA	51572	86496
SRR21359713_hapA	53801	78440
SRR21359714_hapA	56060	81384
SRR21359715_hapA	45842	97222
SRR21359716_hapA	48	46
SRR21359717_hapA	61305	74342
SRR21359718_hapA	10791	73504
SRR21359719_hapA	41456	78853
SRR21359720_hapA	53354	78076
SRR21359721_hapA	10047	77556
SRR21359722_hapA	50556	93903
SRR21359723_hapA	15644	67331
SRR21359724_hapA	16495	66918
SRR21359725_hapA	15873	66599
SRR21359727_hapA	140	841
SRR21359728_hapA	9179	75162
SRR21359729_hapA	7061	48323
SRR21359730_hapA	15877	67578
SRR21359731_hapA	16062	67478
SRR21359732_hapA	56875	82244
SRR21359733_hapA	29	220
SRR22805300_hapA	710	3933
SRR22908971_hapA	67459	61734
SRR22908972_hapA	11809	75129
SRR22908973_hapA	10050	74802
SRR22908974_hapA	69839	62366
SRR22908975_hapA	59429	80202
SRR22908976_hapA	51818	102035
SRR22908977_hapA	11255	76310
SRR22908978_hapA	10421	81199
SRR22908979_hapA	15666	57189
SRR22908980_hapA	17646	61502
SRR22908981_hapA	12222	71841
SRR22908982_hapA	59067	76636
SRR23500520_hapA	32201	45212
SRR23500521_hapA	35919	51051
SRR23500522_hapA	29210	40985
SRR23500523_hapA	23251	31389
SRR23500524_hapA	26884	37972
SRR23500525_hapA	27477	37927
SRR23500527_hapA	4880	22676
SRR23500528_hapA	16086	23816
SRR23500531_hapA	9800	32356
SRR23500533_hapA	21226	27069
SRR23500534_hapA	25148	32371
SRR23500535_hapA	20205	25590
SRR23500536_hapA	6473	26272
SRR23500537_hapA	5033	23055
SRR23500538_hapA	7956	39309
SRR23500540_hapA	5204	25032
SRR23500541_hapA	6078	29444
SRR23500542_hapA	5403	25254
SRR23500544_hapA	7667	19512
SRR23500545_hapA	8317	19627
SRR23500546_hapA	10693	33021
SRR23500547_hapA	7658	15950
SRR23500548_hapA	7074	44816
SRR23500549_hapA	5728	35458
SRR23500550_hapA	3737	21564
SRR23500551_hapA	10429	33267
SRR23500552_hapA	9160	26631
SRR23500553_hapA	27260	42901
SRR23500554_hapA	34527	42660
SRR23500555_hapA	33363	40369
SRR23500556_hapA	10476	36817
SRR23500557_hapA	2126	14959
SRR23500558_hapA	8564	31635
SRR23500559_hapA	28670	49724
SRR23500560_hapA	29000	50738
SRR23500561_hapA	4522	28320
SRR23500562_hapA	28025	44294
SRR23500563_hapA	7607	31184
SRR23500564_hapA	7962	33553
SRR23500565_hapA	9095	41444
SRR23500566_hapA	8688	37636
SRR23500567_hapA	27630	50107
SRR23500568_hapA	6999	29604
SRR23500569_hapA	8962	42587
SRR23500570_hapA	37013	44017
SRR23500571_hapA	26120	60714
SRR23500572_hapA	22513	38192
SRR23500573_hapA	24258	37877
SRR23500574_hapA	37996	46377
SRR23500577_hapA	9692	43561
SRR23500578_hapA	7838	43975
SRR23500579_hapA	8043	45828
SRR23500580_hapA	12712	43297
SRR23500581_hapA	9949	29012
SRR23500583_hapA	4743	9807
SRR23500585_hapA	4054	25765
SRR23500586_hapA	4864	34349
SRR23500587_hapA	4759	34322
SRR23500588_hapA	5908	48730
SRR23500589_hapA	5083	38511
SRR23500590_hapA	3487	415089
SRR23500591_hapA	10157	27346
SRR23500592_hapA	10663	27062
SRR23500593_hapA	10312	29782
SRR23500595_hapA	23515	30599
SRR23500596_hapA	29694	32917
SRR23500597_hapA	7138	36302
SRR23500598_hapA	6514	33347
SRR23500599_hapA	6238	31341
SRR23500600_hapA	9247	44236
SRR23500601_hapA	7203	28937
SRR23500602_hapA	5364	21211
SRR23500603_hapA	19199	39906
SRR23500604_hapA	8178	19378
SRR23500605_hapA	4865	39628
SRR23500606_hapA	4600	77312
SRR23500607_hapA	31906	30351
SRR23500608_hapA	22541	20040
SRR23500609_hapA	15768	12831
SRR23500610_hapA	23118	19084
SRR23500611_hapA	5311	19733
SRR23500612_hapA	7734	42985
SRR23500613_hapA	8316	49006
SRR23500614_hapA	7786	43025
SRR23500615_hapA	27155	45048
SRR23500616_hapA	3880	38013
SRR23500617_hapA	33380	43002
SRR23500620_hapA	21504	51605
SRR23500624_hapA	34543	51687
SRR23500626_hapA	20446	36557
SRR23500627_hapA	8094	15255
SRR23500628_hapA	32945	44780
SRR23500629_hapA	6531	38503
SRR23500630_hapA	25640	56853
SRR23500631_hapA	40224	45323
SRR23500632_hapA	33604	69677
SRR23500633_hapA	7320	41809
SRR23500634_hapA	35853	41851
SRR23500638_hapA	18054	24073
SRR23500639_hapA	26025	39018
SRR23500642_hapA	5854	21900
SRR23500645_hapA	4257	25143
SRR23500647_hapA	27538	53084
SRR23500648_hapA	35990	34261
SRR23500649_hapA	36184	34336
SRR23500650_hapA	33563	31223
SRR23500651_hapA	25749	48299
SRR23500652_hapA	30436	56542
SRR23500653_hapA	27770	61999
SRR23500654_hapA	29041	44191
SRR23500655_hapA	30831	34621
SRR23500656_hapA	3947	22574
SRR23500657_hapA	25538	38387
SRR23500658_hapA	42333	52731
SRR23500659_hapA	54408	68180
SRR23500660_hapA	8458	30935
SRR23500661_hapA	9616	37458
SRR23500662_hapA	9082	35550
SRR23500663_hapA	6763	70025
