Accession,Bioproject,Last_author,Sequencing_technology,Isolate_Name,Country,Continent,Isolation_source,Ropars_Clade,Proposed_final_clade,Mean_coverage,Mean_depth,Aneuploidy,HOM_pos,HOM_ref,HOM_alt,HET_pos,Missing_pos,frac_missing,frac_HET,PASS_Het,For_Sub_Phylo,Intrapop_ID,Intrapop_removed,MAT_type
ERR4669774,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F4-36,Denmark,Europe,Vagina,,21,99.767625,106.65475,0,13682928,13641255,41673,106808,494160,0.034595603,0.00747751,1,0,,0,a/α
ERR4669775,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F4-37,Denmark,Europe,Oral,,1,99.680475,45.7864375,0,11506673,11492773,13900,56538,2720685,0.190472193,,0,0,,0,a/α
ERR4669776,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F4-38,Denmark,Europe,Vagina,,1,99.7967625,191.3875,0,14099899,14086619,13280,82421,101576,0.007111225,0.0057702,1,0,,0,a/α
ERR4669777,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F4-39,Denmark,Europe,Skin,,2,99.3650875,66.6507625,chrR,13308822,13241805,67017,64290,910784,0.063762996,0.00450087,1,0,,0,a/α
ERR4669781,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F5-47,Denmark,Europe,Oral,,2,99.195575,40.1493125,0,9863068,9819065,44003,51165,4369663,0.305915347,,0,0,,0,α/α
ERR4669793,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F8-28,Denmark,Europe,Blood,,21,99.6860375,50.7599875,0,12472311,12432298,40013,85435,1726150,0.120845881,0.00598121,1,0,,0,a/α
ERR4669797,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F1-53,Denmark,Europe,Skin,,12,99.56635,61.6949125,0,11550610,11503662,46948,74684,2658602,0.18612583,,0,0,,0,a/α
ERR4669798,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F1-56,Denmark,Europe,Skin,,4,99.5187,64.4079625,0,10979013,10930035,48978,62347,3242536,0.227006413,,0,0,,0,a/α
HSC002,NA,This  study,NextSeq 550,HSC002,Canada,North America,Blood,,2,99.2793625,85.5152,0,13636848,13568578,68270,73454,573594,0.040156691,0.00514243,1,0,,0,a/α
HSC007,NA,This  study,NextSeq 550,HSC007,Canada,North America,Miscellaneous,,19,99.515,99.2871625,0,13934513,13875216,59297,108879,240504,0.016837423,0.0076225,1,0,,0,a/α
HSC008,NA,This  study,NextSeq 550,HSC008,Canada,North America,Skin,,4,99.69195,83.7428875,0,13732208,13668142,64066,87765,463923,0.032478744,0.00614433,1,0,,0,a/α
HSC012,NA,This  study,NextSeq 550,HSC012,Canada,North America,Abdominal,,4,99.6718875,93.2897375,0,13778071,13716274,61797,93251,412574,0.028883856,0.0065284,1,0,,0,a/α
HSC014,NA,This  study,NextSeq 550,HSC014,Canada,North America,Skin,,3,99.6375,106.945125,0,13937863,13870483,67380,86933,259100,0.018139309,0.00608608,1,0,IP10,0,a/α
HSC015,NA,This  study,NextSeq 550,HSC015,Canada,North America,Abdominal,,3,99.5418625,81.0182,chr3,13735355,13667038,68317,76344,472197,0.033057998,0.00534476,1,0,,0,a/α
HSC020,NA,This  study,NextSeq 550,HSC020,Canada,North America,Skin,,3,99.6257125,87.4287625,0,13727728,13661902,65826,84894,471274,0.032993379,0.00594334,1,0,IP10,1,a/α
HSC028,NA,This  study,NextSeq 550,HSC028,Canada,North America,Abdominal,,20,99.6314,114.858375,0,13950299,13891744,58555,101914,231683,0.016219874,0.00713489,1,0,IP11,0,a/α
HSC029,NA,This  study,NextSeq 550,HSC029,Canada,North America,Pleural and Thoracic,,20,99.6293625,105.442375,0,13924873,13862883,61990,94521,264502,0.018517497,0.00661731,1,0,,0,a/α
HSC030,NA,This  study,NextSeq 550,HSC030,Canada,North America,Pleural and Thoracic,,1,99.8147125,83.382975,0,13719570,13708033,11537,86344,477982,0.033462999,0.00604485,1,0,,0,a/α
HSC034,NA,This  study,NextSeq 550,HSC034,Canada,North America,Skin,,1,99.8654625,93.1713625,0,13870769,13855172,15597,79271,333856,0.023372895,0.00554968,1,0,,0,a/α
HSC038,NA,This  study,NextSeq 550,HSC038,Canada,North America,Abdominal,,20,99.622425,95.8467625,0,13837358,13779538,57820,100727,345811,0.024209851,0.00705179,1,0,IP11,1,a/α
HSC041,NA,This  study,NextSeq 550,HSC041,Canada,North America,Urogenital,,3,99.57195,70.946475,0,13283597,13220500,63097,76949,923350,0.064642728,0.00538712,1,0,,0,α/α
HSC042,NA,This  study,NextSeq 550,HSC042,Canada,North America,Urogenital,,1,99.7220375,91.0491625,0,13861607,13846351,15256,77397,344892,0.024145513,0.00541848,1,0,,0,a/α
HSC043,NA,This  study,NextSeq 550,HSC043,Canada,North America,Skin,,1,99.8718625,103.034113,0,13960179,13950276,9903,89980,233737,0.016363673,0.0062994,1,0,IP12,0,a/α
HSC044,NA,This  study,NextSeq 550,HSC044,Canada,North America,Vagina,,1,99.7413875,106.96675,0,13932942,13912433,20509,78063,272891,0.019104802,0.00546511,1,0,,0,a/α
HSC046,NA,This  study,NextSeq 550,HSC046,Canada,North America,Skin,,1,99.7399375,98.2616875,chr7,13875590,13863076,12514,83873,324433,0.022713201,0.00587186,1,0,IP13,0,a/α
HSC047,NA,This  study,NextSeq 550,HSC047,Canada,North America,Gastrointestinal,,1,99.8219625,110.451875,0,13965881,13950280,15601,86205,231810,0.016228766,0.00603512,1,0,,0,a/α
HSC048,NA,This  study,NextSeq 550,HSC048,Canada,North America,Skin,,1,99.8664,89.700125,0,13779925,13766008,13917,86376,417595,0.029235371,0.00604709,1,0,,0,a/α
HSC050,NA,This  study,NextSeq 550,HSC050,Canada,North America,Skin,,1,99.7375375,99.323975,chr7,13899564,13886997,12567,83841,300491,0.021037048,0.00586962,1,0,IP13,1,a/α
HSC051,NA,This  study,NextSeq 550,HSC051,Canada,North America,Urogenital,,1,99.8116875,88.9614625,0,13834081,13821003,13078,86255,363560,0.02545244,0.00603862,1,0,,0,a/α
HSC054,NA,This  study,NextSeq 550,HSC054,Canada,North America,Oral,,20,99.7526875,95.2297625,0,13809812,13751060,58752,106395,367689,0.025741506,0.0074486,1,0,,0,a/α
HSC055,NA,This  study,NextSeq 550,HSC055,Canada,North America,Skin,,3,99.401975,87.165725,0,13684975,13622879,62096,90166,508755,0.035617383,0.00631242,1,0,,0,a/α
HSC057,NA,This  study,NextSeq 550,HSC057,Canada,North America,Oral,,20,99.7509625,89.818025,0,13747413,13686067,61346,98855,437628,0.03063786,0.00692073,1,0,,0,a/α
HSC058,NA,This  study,NextSeq 550,HSC058,Canada,North America,Abdominal,,2,99.4208,90.49565,0,13790609,13722457,68152,77203,416084,0.029129588,0.0054049,1,0,,0,a/α
HSC059,NA,This  study,NextSeq 550,HSC059,Canada,North America,Skin,,1,99.8445,90.458025,0,13807077,13788490,18587,68642,408177,0.028576027,0.00480555,1,0,IP12,1,a/α
HSC061,NA,This  study,NextSeq 550,HSC061,Canada,North America,Gastrointestinal,,3,99.58155,75.2385625,0,13480183,13415515,64668,78648,725065,0.050761011,0.00550606,1,0,,0,a/α
HSC062,NA,This  study,NextSeq 550,HSC062,Canada,North America,Skin,,11,99.8163125,96.6973,0,13848496,13808379,40117,94634,340766,0.023856656,0.00662522,1,0,,0,a/α
HSC063,NA,This  study,NextSeq 550,HSC063,Canada,North America,Blood,,1,99.8671625,96.898325,0,13893906,13886930,6976,98242,291748,0.02042496,0.00687782,1,0,,0,a/α
HSC074,NA,This  study,NextSeq 550,HSC074,Canada,North America,Pleural and Thoracic,,20,99.609475,87.5547375,0,13795200,13738444,56756,101754,386942,0.027089388,0.00712369,1,0,,0,a/a
HSC077,NA,This  study,NextSeq 550,HSC077,Canada,North America,Blood,,20,99.687775,82.509625,0,13672433,13620042,52391,102089,509374,0.035660719,0.00714714,1,0,IP14,0,a/α
HSC078,NA,This  study,NextSeq 550,HSC078,Canada,North America,Vagina,,1,99.8286625,97.1559875,0,13873900,13862833,11067,81567,328429,0.022992957,0.00571042,1,0,,0,a/α
HSC080,NA,This  study,NextSeq 550,HSC080,Canada,North America,Miscellaneous,,3,99.368175,85.471025,0,13654326,13587703,66623,79381,550189,0.038518133,0.00555738,1,0,,0,a/α
HSC081,NA,This  study,NextSeq 550,HSC081,Canada,North America,Urogenital,,1,99.9090875,108.65025,0,13878388,13850776,27612,62760,342748,0.023995414,0.00439376,1,0,IP15,0,a/α
HSC082,NA,This  study,NextSeq 550,HSC082,Canada,North America,Urogenital,,1,99.9061125,97.7293875,0,13918574,13890982,27592,63203,302119,0.021151022,0.00442477,1,0,IP15,1,a/α
HSC083,NA,This  study,NextSeq 550,HSC083,Canada,North America,Urogenital,,20,99.611275,83.446675,"chr4,chr7",13394641,13329827,64814,78843,810412,0.056736061,0.00551971,1,0,,0,a/α
HSC090,NA,This  study,NextSeq 550,HSC090,Canada,North America,Skin,,1,99.6898375,101.208075,0,13942881,13924080,18801,71608,269407,0.018860891,0.0050132,1,0,,0,a/α
HSC094,NA,This  study,NextSeq 550,HSC094,Canada,North America,Abdominal,,3,99.5890625,87.9907125,0,13784601,13720813,63788,88644,410651,0.028749229,0.00620587,1,0,,0,a/α
HSC097,NA,This  study,NextSeq 550,HSC097,Canada,North America,Skin,,26,99.6518,80.4125875,0,13597205,13536230,60975,100067,586624,0.041068907,0.00700558,1,0,,0,a/α
HSC098,NA,This  study,NextSeq 550,HSC098,Canada,North America,Urogenital,,3,99.486875,80.5436125,0,13582564,13520636,61928,86923,614409,0.043014105,0.00608538,1,0,IP16,0,a/α
HSC099,NA,This  study,NextSeq 550,HSC099,Canada,North America,Miscellaneous,,20,99.695575,95.5614875,0,13823009,13769539,53470,103734,357153,0.025003892,0.0072623,1,0,IP14,0,a/α
HSC100,NA,This  study,NextSeq 550,HSC100,Canada,North America,Blood,,4,99.6672625,95.935575,0,13819886,13762183,57703,102470,361540,0.025311022,0.00717381,1,0,,0,a/α
HSC105,NA,This  study,NextSeq 550,HSC105,Canada,North America,Urogenital,,3,99.4937625,93.3391375,0,13825589,13762126,63463,88965,369342,0.025857231,0.00622834,1,0,IP16,1,a/α
HSC111,NA,This  study,NextSeq 550,HSC111,Canada,North America,Miscellaneous,,20,99.643675,440.227375,0,14125028,14065811,59217,80667,78201,0.005474767,0.00564741,1,0,,0,a/α
HSC112,NA,This  study,NextSeq 550,HSC112,Canada,North America,Oral,,1,99.865725,440.964375,0,14161012,14154577,6435,87751,35133,0.002459623,0.00614335,1,0,,0,a/α
HSC116,NA,This  study,NextSeq 550,HSC116,Canada,North America,Urogenital,,20,99.535375,511.563125,0,14132326,14061347,70979,59033,92537,0.006478415,0.00413284,1,0,IP17,0,a/α
HSC120,NA,This  study,NextSeq 550,HSC120,Canada,North America,Blood,,4,99.738825,546.01025,0,14130382,14075242,55140,90244,63270,0.004429464,0.00631788,1,0,,0,a/α
HSC122,NA,This  study,NextSeq 550,HSC122,Canada,North America,Urogenital,,20,99.820925,409.60075,"chr1R, chr5L",14129009,14065315,63694,73466,81421,0.005700196,0.00514327,1,0,IP17,1,a/α
HSC123,NA,This  study,NextSeq 550,HSC123,Canada,North America,Miscellaneous,,1,99.8158875,691.904875,0,14180615,14158023,22592,59302,43979,0.003078922,0.00415167,1,0,,0,a/α
HSC124,NA,This  study,NextSeq 550,HSC124,Canada,North America,Vagina,,11,99.7356,780.962125,CNV on chr2,14139647,14086035,53612,77835,66414,0.004649572,0.00544914,1,0,,0,a/α
HSC125,NA,This  study,NextSeq 550,HSC125,Canada,North America,Miscellaneous,,1,99.780275,410.8965,0,14157527,14148222,9305,81449,44920,0.0031448,0.00570216,1,0,,0,a/α
HSC126,NA,This  study,NextSeq 550,HSC126,Canada,North America,Abdominal,,1,99.790925,504.523875,0,14163030,14151893,11137,76338,44528,0.003117357,0.00534434,1,0,,0,a/α
HSC127,NA,This  study,NextSeq 550,HSC127,Canada,North America,Vagina,,1,99.863375,365.39125,0,14159778,14148392,11386,78062,46056,0.00322433,0.00546504,1,0,,0,a/α
HSC128,NA,This  study,NextSeq 550,HSC128,Canada,North America,Abdominal,,3,99.6569625,576.894625,0,14122404,14066286,56118,87586,73906,0.005174079,0.0061318,1,0,,0,a/α
HSC129,NA,This  study,NextSeq 550,HSC129,Canada,North America,Blood,,1,99.7758375,462.945,0,14153699,14143217,10482,78054,52143,0.003650475,0.00546448,1,0,,0,a/α
HSC131,NA,This  study,NextSeq 550,HSC131,Canada,North America,Vagina,,13,99.2542625,634.176625,"chr6R,chr7L",14082790,13978417,104373,37419,163687,0.011459549,0.00261966,1,0,,0,a/α
HSC134,NA,This  study,NextSeq 550,HSC134,Canada,North America,Miscellaneous,,1,99.8605,446.927375,0,14172894,14159670,13224,72406,38596,0.002702064,0.00506907,1,0,,0,a/α
HSC138,NA,This  study,NextSeq 550,HSC138,Canada,North America,Skin,,26,99.593725,561.504125,0,14112387,14053899,58488,91899,79610,0.005573409,0.00643375,1,0,,0,a/α
HSC139,NA,This  study,NextSeq 550,HSC139,Canada,North America,Urogenital,,20,99.58135,642.888,"chr5L,chr6 CNV,chr7",14138856,14065806,73050,53226,91814,0.006427798,0.00372629,1,0,IP17,1,a/α
HSC147,NA,This  study,NextSeq 550,HSC147,Canada,North America,Vagina,,4,99.6846875,269.174125,0,14119306,14055838,63468,88994,75596,0.005292394,0.00623037,1,0,,0,a/α
HSC149,NA,This  study,NextSeq 550,HSC149,Canada,North America,Pleural and Thoracic,,20,99.6635375,508.5835,0,14126404,14073412,52992,89904,67588,0.004731762,0.00629408,1,0,,0,a/α
HSC156,NA,This  study,NextSeq 550,HSC156,Canada,North America,Urogenital,,20,99.6562125,461.221875,0,14123968,14070994,52974,89788,70140,0.004910425,0.00628596,1,0,IP17,0,a/α
HSC157,NA,This  study,NextSeq 550,HSC157,Canada,North America,Vagina,,3,99.34135,545.1785,0,14130573,14051558,79015,43626,109697,0.007679767,0.00305421,1,0,,0,a/α
HSC158,NA,This  study,NextSeq 550,HSC158,Canada,North America,Pleural and Thoracic,,9,99.77485,615.832625,chrR,14133901,14072751,61150,90092,59903,0.004193744,0.00630724,1,0,,0,a/α
HSC160,NA,This  study,NextSeq 550,HSC160,Canada,North America,Blood,,2,99.2304,580.12875,chr7,14111195,14035888,75307,49679,123022,0.008612636,0.00347797,1,0,,0,a/α
HSC167,NA,This  study,NextSeq 550,HSC167,Canada,North America,Vagina,,1,99.8956375,738.9995,CNV on chr4,14177060,14165492,11568,77776,29060,0.002034459,0.00544501,1,0,,0,a/α
HSC169,NA,This  study,NextSeq 550,HSC169,Canada,North America,Pleural and Thoracic,,1,99.833425,552.362125,0,14157796,14147983,9813,83152,42948,0.003006743,0.00582138,1,0,,0,a/α
HSC173,NA,This  study,NextSeq 550,HSC173,Canada,North America,Abdominal,,1,99.5526375,534.736375,0,14118840,14106379,12461,71988,93068,0.006515589,0.0050398,1,0,,0,a/α
HSC174,NA,This  study,NextSeq 550,HSC174,Canada,North America,Pleural and Thoracic,,26,99.7194875,446.391375,0,14125676,14065241,60435,91675,66545,0.004658743,0.00641807,1,0,,0,a/α
HSC180,NA,This  study,NextSeq 550,HSC180,Canada,North America,Gastrointestinal,,3,99.5581625,387.058875,0,14108575,14048846,59729,80736,94585,0.006621793,0.00565224,1,0,,0,a/α
HSC182,NA,This  study,NextSeq 550,HSC182,Canada,North America,Urogenital,,20,99.5702,654.300375,chr7,14141863,14071948,69915,63362,78671,0.005507671,0.0044359,1,0,IP17,1,a/α
HSC185,NA,This  study,NextSeq 550,HSC185,Canada,North America,Urogenital,,20,99.735225,595.568125,0,14134986,14083642,51344,92695,56215,0.003935551,0.00648948,1,0,,0,a/α
HSC187,NA,This  study,NextSeq 550,HSC187,Canada,North America,Skin,,20,99.6809125,569.531,0,14145921,14076378,69543,63133,74842,0.005239607,0.00441987,1,0,,0,a/α
HSC190,NA,This  study,NextSeq 550,HSC190,Canada,North America,Blood,,9,99.902825,670.5875,0,14132357,14080695,51662,104492,47047,0.003293709,0.00731537,1,0,,0,a/α
HSC193,NA,This  study,NextSeq 550,HSC193,Canada,North America,Skin,,20,99.7292625,663.85575,0,14133799,14070539,63260,77423,72674,0.005087828,0.0054203,1,0,,0,a/α
HSC194,NA,This  study,NextSeq 550,HSC194,Canada,North America,Oral,,20,99.829175,657.1965,0,14139544,14078901,60643,81039,63313,0.004432474,0.00567345,1,0,,0,a/α
HSC197,NA,This  study,NextSeq 550,HSC197,Canada,North America,Abdominal,,20,99.5896875,334.833375,0,14121626,14057249,64377,73780,88490,0.006195089,0.00516526,1,0,,0,a/α
HSC199,NA,This  study,NextSeq 550,HSC199,Canada,North America,Urogenital,,1,99.7365375,362.853125,0,14161942,14145649,16293,64759,57195,0.00400416,0.00453371,1,0,IP17,0,α/α
HSC201,NA,This  study,NextSeq 550,HSC201,Canada,North America,Oral,,20,99.864225,502.689625,0,14128557,14069062,59495,89894,65445,0.004581733,0.00629338,1,0,,0,a/α
HSC204,NA,This  study,NextSeq 550,HSC204,Canada,North America,Oral,,1,99.745625,345.840875,0,14158143,14141780,16363,72054,53699,0.003759408,0.00504442,1,0,,0,a/α
HSC206,NA,This  study,NextSeq 550,HSC206,Canada,North America,Blood,,1,99.8635875,571.861375,0,14160241,14152762,7479,86579,37076,0.00259565,0.0060613,1,0,,0,a/α
HSC207,NA,This  study,NextSeq 550,HSC207,Canada,North America,Abdominal,,20,99.6791875,635.034125,0,14133478,14074921,58557,85713,64705,0.004529927,0.00600067,1,0,,0,a/α
HSC210,NA,This  study,NextSeq 550,HSC210,Canada,North America,Gastrointestinal,,1,99.876025,621.925375,chr7,14170080,14157768,12312,77072,36744,0.002572407,0.00539573,1,0,,0,a/α
SRR10209617,PRJNA563993,Sitterle et al. 2020,Illumina HiSeq 2500,HAME38,France,Europe,Oral,,11,99.6431,145.514875,0,14099245,14047672,51573,102401,82250,0.005758233,0.00716898,1,0,,0,a/α
SRR10209618,PRJNA563993,Sitterle et al. 2020,Illumina HiSeq 2500,FLON02,France,Europe,Skin,,11,99.717425,100.496025,0,14096602,14037994,58608,87373,99921,0.00699536,0.00611689,1,0,,0,a/a
SRR10209619,PRJNA563993,Sitterle et al. 2020,Illumina HiSeq 2500,FLON17,France,Europe,Skin,,1,99.6335625,29.91175,0,4540960,4525898,15062,24738,9718198,0.680360456,,0,0,,0,a/a
SRR10209620,PRJNA563993,Sitterle et al. 2020,Illumina HiSeq 2500,FLON13,France,Europe,Skin,,11,99.7277875,178.55975,0,14133177,14071419,61758,83383,67336,0.00471412,0.00583755,1,0,,0,a/a
SRR10209621,PRJNA563993,Sitterle et al. 2020,Illumina HiSeq 2500,FLOJ19,France,Europe,Vagina,,11,99.7229875,143.40125,0,14120641,14063196,57445,90167,73088,0.005116811,0.00631249,1,0,,0,a/a
SRR10209622,PRJNA563993,Sitterle et al. 2020,Illumina HiSeq 2500,FLOJ14,France,Europe,Oral,,11,99.698375,49.3750125,0,13216647,13169099,47548,84490,982759,0.068801887,0.00591505,1,0,,0,a/a
SRR10209623,PRJNA563993,Sitterle et al. 2020,Illumina HiSeq 2500,BLOG54,France,Europe,Oral,,11,99.629625,79.7054125,0,14045614,13987581,58033,86476,151806,0.010627773,0.00605409,1,0,,0,α/α
SRR10209624,PRJNA563993,Sitterle et al. 2020,Illumina HiSeq 2500,BLOV27,France,Europe,Oral,,11,99.7665625,319.768375,0,14139113,14084342,54771,80412,64371,0.004506544,0.00562956,1,0,,0,a/α
SRR11235410,PRJNA610214,McTaggart et al. 2020,Illumina MiSeq,SP4920,Canada,North America,Blood,,3,99.2869375,32.952975,0,7420048,7386860,33188,34002,6829846,0.478150079,,0,0,,0,a/α
SRR11235411,PRJNA610214,McTaggart et al. 2020,Illumina MiSeq,SP1350,Canada,North America,Abdominal,,4,98.7370125,78.2538875,0,9070818,9030733,40085,49702,5163376,0.361482329,,0,0,IP21,0,a/α
